GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0015562,12,0.2941294515634682,0.4774934395977374,0.015574453230886947,7.188192490470199e-5,efflux transmembrane transporter activity,MF,0.09414827133265893,4.19415405313522e-4,4.19415405313522e-4,3.3773556217491163
GO:0004527,46,-0.8042336998713756,-0.5192907610950686,0.09058569806138869,9.244170340994103e-5,exonuclease activity,MF,0.27882111651005415,5.301571195561576e-4,5.301571195561576e-4,3.275595402014561
GO:0035091,100,-0.6228906691737648,-0.39619503830909525,0.43490678397634847,9.51350387395107e-5,phosphatidylinositol binding,MF,0.658741426745214,5.409797541882346e-4,5.409797541882346e-4,3.26681898777487
GO:0008168,153,-0.8154903242564424,-0.35638368738284915,0.00455838436619446,1.0695349858561055e-4,methyltransferase activity,MF,0.037300925728249786,5.980483129245389e-4,5.980483129245389e-4,3.2232637304112557
GO:0048027,25,-0.9325397244866325,-0.611684755670021,0.3737515296786722,1.0848147067112165e-4,mRNA 5'-UTR binding,MF,0.6148856413406956,6.012092994135735e-4,6.012092994135735e-4,3.2209743104324935
GO:0005319,12,0.6587133994444238,0.4748597002460686,3.2989713962925505e-4,1.0931078171155881e-4,lipid transporter activity,MF,0.00564912295670842,6.012092994135735e-4,6.012092994135735e-4,3.2209743104324935
GO:0045499,23,0.29538218260486615,0.2837657818593221,6.603322279567062e-4,1.1184963452983803e-4,chemorepellent activity,MF,0.008687900489391174,6.101715834920433e-4,6.101715834920433e-4,3.2145480218984095
GO:0002020,90,-0.2280790827106091,0.04224098641035061,0.021195120841601474,1.1516979844967014e-4,protease binding,MF,0.11562541532288283,6.182314780778294e-4,6.182314780778294e-4,3.2088488860286764
GO:0000977,250,-0.49364920486839714,-0.3206087436981632,0.22521141624901533,1.2114305588222245e-4,RNA polymerase II transcription regulatory region sequence-specific DNA binding,MF,0.47670933849554986,6.451348452140576e-4,6.451348452140576e-4,3.190349500230439
GO:0000049,78,-0.9389645367486977,-0.42806754616058706,0.001899579079069288,1.3030860265116894e-4,tRNA binding,MF,0.019312387303871092,6.88480884873499e-4,6.88480884873499e-4,3.1621081130820072
